subject,imtype,region,category,sequence,signal_change
R3290,local,ppa_left_23,face,same,0.4794
R3290,local,ppa_left_23,face,diff,0.8727
R3290,local,ppa_left_23,house,same,0.9502
R3290,local,ppa_left_23,house,diff,1.045
R3290,local,ppa_left_31,face,same,0.5547
R3290,local,ppa_left_31,face,diff,0.9616
R3290,local,ppa_left_31,house,same,1.097
R3290,local,ppa_left_31,house,diff,1.145
R3290,local,ppa_left_50,face,same,0.603
R3290,local,ppa_left_50,face,diff,1.01
R3290,local,ppa_left_50,house,same,1.166
R3290,local,ppa_left_50,house,diff,1.199
R3290,local,ppa_right_100,face,same,0.5201
R3290,local,ppa_right_100,face,diff,0.9517
R3290,local,ppa_right_100,house,same,1.196
R3290,local,ppa_right_100,house,diff,1.323
R3290,local,ppa_right_150,face,same,0.4671
R3290,local,ppa_right_150,face,diff,0.8799
R3290,local,ppa_right_150,house,same,1.113
R3290,local,ppa_right_150,house,diff,1.253
R3290,local,ppa_right_23,face,same,0.4039
R3290,local,ppa_right_23,face,diff,0.7837
R3290,local,ppa_right_23,house,same,1.001
R3290,local,ppa_right_23,house,diff,1.127
R3290,local,ppa_right_31,face,same,0.5129
R3290,local,ppa_right_31,face,diff,0.9415
R3290,local,ppa_right_31,house,same,1.183
R3290,local,ppa_right_31,house,diff,1.312
R3290,local,ppa_right_50,face,same,0.7136
R3290,local,ppa_right_50,face,diff,1.174
R3290,local,ppa_right_50,house,same,1.414
R3290,local,ppa_right_50,house,diff,1.552
R3290,local,psts_24_bilat,face,same,-0.08301
R3290,local,psts_24_bilat,face,diff,0.08411
R3290,local,psts_24_bilat,house,same,0.1371
R3290,local,psts_24_bilat,house,diff,0.0196
R3290,local,rsc_24_bilat,face,same,-0.365
R3290,local,rsc_24_bilat,face,diff,-0.2897
R3290,local,rsc_24_bilat,house,same,-0.1669
R3290,local,rsc_24_bilat,house,diff,-0.138
R3290,local,ventral_stream,face,same,0.1978
R3290,local,ventral_stream,face,diff,0.4432
R3290,local,ventral_stream,house,same,0.369
R3290,local,ventral_stream,house,diff,0.5103
R3290,local,ventral_stream_sub_V1V4,face,same,0.09796
R3290,local,ventral_stream_sub_V1V4,face,diff,0.3299
R3290,local,ventral_stream_sub_V1V4,house,same,0.2565
R3290,local,ventral_stream_sub_V1V4,house,diff,0.3884
R3290,intact,IPS0,face,same,0.6824
R3290,intact,IPS0,face,diff,0.6058
R3290,intact,IPS0,house,same,0.9738
